2022-08-28 10:18:10,866 1126154 [p-bio-80-exec-1] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 62052
2022-08-28 10:23:00,771 0      [p-bio-80-exec-8] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 95917
2022-08-28 10:26:38,958 218187 [p-bio-80-exec-3] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 215284
2022-08-28 10:34:11,033 670262 [p-bio-80-exec-7] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 448951
2022-08-28 10:56:08,139 1987368 [-bio-80-exec-10] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 1200177
2022-08-28 10:59:03,768 2162997 [p-bio-80-exec-9] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 103908
2022-08-28 11:03:53,540 2452769 [p-bio-80-exec-7] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 74694
2022-08-28 11:08:53,182 2752411 [-bio-80-exec-10] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 75145
2022-08-28 11:09:56,416 2815645 [p-bio-80-exec-3] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 60352
2022-08-28 11:20:45,372 3464601 [p-bio-80-exec-5] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 646203
